Customer ID,First Name,Last Name,Company Name,Contact Number,Full Name,Total Number of Orders,Total Payment Made
c0055,Jax,Hamilton,Kappa Systems,7123456786,Jax Hamilton,27,10587.0
c0056,Raelynn,Park,Sigma Technologies,9123456789,Raelynn Park,32,12804.0
c0057,Beckett,West,Omega Inc.,2123456783,Beckett West,46,18992.0
c0058,June,Cole,Nu Company,3123456786,June Cole,38,15484.0
c0059,Maverick,Bishop,Mu Corporation,5123456789,Maverick Bishop,45,16618.0
c0060,Sienna,Saunders,Pi Solutions,7123456782,Sienna Saunders,38,14825.0
c0061,Coleman,Tate,Lambda Group,9123456784,Coleman Tate,36,13991.0
c0062,Eliza,Welch,Delta Corp.,1123456787,Eliza Welch,33,11593.0
c0063,Bryce,Cameron,Epsilon Tech,2123456789,Bryce Cameron,45,17546.0
c0064,Finley,Collins,Gamma Enterprises,3123456783,Finley Collins,41,17049.0
c0065,Sawyer,Flynn,Theta Corporation,4123456786,Sawyer Flynn,37,13382.0
c0066,Hope,Patel,Kappa Systems,5123456789,Hope Patel,39,16036.0
c0067,Gemma,Hogan,Sigma Technologies,7123456782,Gemma Hogan,34,13150.0
c0068,Knox,Goodman,Omega Inc.,9123456784,Knox Goodman,42,17138.0
c0069,Camilla,Reyes,Nu Company,1123456787,Camilla Reyes,37,13716.0
c0070,Kai,Huffman,Mu Corporation,2123456789,Kai Huffman,32,13132.0
c0071,Anastasia,Stevens,Pi Solutions,3123456783,Anastasia Stevens,41,14750.0
c0072,Drew,Osborne,Lambda Group,4123456786,Drew Osborne,34,14926.0
c0073,Skyler,Gallagher,Delta Corp.,5123456789,Skyler Gallagher,0,0.0
